order_id,date,category,area,quantity,price,payment_mode,profit
ORD0001,2026-01-01,Saree,Velachery,3,4097,UPI,3054.88
ORD0002,2026-01-01,Kurta,Anna Nagar,2,879,Cash,297.59
ORD0003,2026-01-01,Kurta,Velachery,1,2055,UPI,556.07
ORD0004,2026-01-02,Saree,T Nagar,2,2712,UPI,1139.9
ORD0005,2026-01-02,Saree,T Nagar,3,3833,Cash,1186.46
ORD0006,2026-01-02,Kurta,Velachery,1,907,UPI,233.12
ORD0007,2026-01-03,Saree,Anna Nagar,4,2632,Cash,1872.44
ORD0008,2026-01-03,Kurta,T Nagar,2,1815,UPI,393.23
ORD0009,2026-01-03,Saree,T Nagar,4,3799,UPI,1679.74
ORD0010,2026-01-04,Saree,Velachery,3,3286,Cash,2144.18
ORD0011,2026-01-04,Kurta,T Nagar,2,1058,UPI,189.33
ORD0012,2026-01-04,Kurta,Anna Nagar,1,2234,UPI,306.77
ORD0013,2026-01-05,Kurta,T Nagar,3,2432,UPI,787.66
ORD0014,2026-01-05,Kurta,T Nagar,2,2057,Cash,692.04
ORD0015,2026-01-06,Kurta,Anna Nagar,1,886,Cash,144.3
ORD0016,2026-01-06,Kurta,T Nagar,4,2175,UPI,1604.06
ORD0017,2026-01-06,Kurta,T Nagar,2,1945,UPI,528.76
ORD0018,2026-01-07,Saree,T Nagar,1,3596,Cash,310.73
ORD0019,2026-01-07,Kurta,T Nagar,2,957,UPI,388.31
ORD0020,2026-01-07,Saree,T Nagar,2,2721,UPI,842.11
ORD0021,2026-01-08,Kurta,T Nagar,4,1496,UPI,1258.24
ORD0022,2026-01-08,Saree,T Nagar,3,3377,UPI,1030.66
ORD0023,2026-01-08,Saree,T Nagar,1,3372,Cash,279.05
ORD0024,2026-01-09,Kurta,Velachery,1,1422,Cash,184.37
ORD0025,2026-01-09,Kurta,Velachery,3,812,Cash,417.31
ORD0026,2026-01-10,Kurta,T Nagar,1,1283,UPI,203.76
ORD0027,2026-01-10,Saree,T Nagar,2,3225,UPI,1561.29
ORD0028,2026-01-10,Kurta,Velachery,1,2407,UPI,374.45
ORD0029,2026-01-11,Kurta,Anna Nagar,1,855,UPI,159.11
ORD0030,2026-01-11,Saree,Anna Nagar,4,2330,UPI,1851.91
